Group,Sequence Name,Vertical,GHL Trigger Tag,All Tags Applied,Setup Required in GHL,Unpaused in Replit? (Y/N),Optional Native GHL Workflow ID,Notes
2 - SDR Outbound + Drip by Industry,10. Retail Merchants — SDR Outbound + Drip,retail,LB-SEQ-RETAIL-SDR,LB-SDR | LB-RETAIL | LB-SEQ-RETAIL-SDR,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
2 - SDR Outbound + Drip by Industry,11. Auto Merchants — SDR Outbound + Drip,auto,LB-SEQ-AUTO-SDR,LB-SDR | LB-AUTO | LB-SEQ-AUTO-SDR,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
2 - SDR Outbound + Drip by Industry,12. Medical & Med Spa — SDR Outbound + Drip,medical,LB-SEQ-MEDICAL-SDR,LB-SDR | LB-MEDSPA | LB-SEQ-MEDICAL-SDR,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
3 - Cold Outbound by Vertical,SDR: Cold Outbound — Auto Repair,Auto Repair,LB-SEQ-COLD-AUTO,LB-SDR | LB-AUTO | LB-SEQ-COLD-AUTO,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
3 - Cold Outbound by Vertical,SDR: Cold Outbound — Med Spa,Med Spa,LB-SEQ-COLD-MEDSPA,LB-SDR | LB-MEDSPA | LB-SEQ-COLD-MEDSPA,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
3 - Cold Outbound by Vertical,SDR: Cold Outbound — Dental,Dental,LB-SEQ-COLD-DENTAL,LB-SDR | LB-DENTAL | LB-SEQ-COLD-DENTAL,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
3 - Cold Outbound by Vertical,SDR: Cold Outbound — Construction,Construction,LB-SEQ-COLD-CONSTRUCTION,LB-SDR | LB-SDR-CONSTRUCTION | LB-SEQ-COLD-CONSTRUCTION,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
4 - SDR Lifecycle Events,SDR: Reply Engaged,all,LB-SEQ-REPLY-ENGAGED,LB-SDR | LB-SEQ-REPLY-ENGAGED,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
4 - SDR Lifecycle Events,SDR: Statement Chase,all,LB-SEQ-STATEMENT-CHASE,LB-SDR | LB-STATEMENT-PENDING | LB-SEQ-STATEMENT-CHASE,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
4 - SDR Lifecycle Events,SDR: Proposal Follow-Up,all,LB-SEQ-PROPOSAL-FU,LB-SDR | LB-PROPOSAL-SENT | LB-SEQ-PROPOSAL-FU,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
4 - SDR Lifecycle Events,SDR: No-Show Recovery,all,LB-SEQ-NOSHOW-RECOVERY,LB-SDR | LB-SEQ-NOSHOW-RECOVERY,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Retail: SDR Outbound Prospecting,retail,LB-SEQ-V-RETAIL-SDR,LB-SDR | LB-RETAIL | LB-SEQ-V-RETAIL-SDR,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Retail: Inbound Lead Nurture,retail,LB-SEQ-V-RETAIL-INBOUND,LB-SDR | LB-RETAIL | LB-SEQ-V-RETAIL-INBOUND,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Retail: Account Management Ops,retail,LB-RETAIL,LB-OPS | LB-RETAIL,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Auto: SDR Outbound Prospecting,auto,LB-SEQ-V-AUTO-SDR,LB-SDR | LB-AUTO | LB-SEQ-V-AUTO-SDR,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Auto: Inbound Lead Nurture,auto,LB-SEQ-V-AUTO-INBOUND,LB-SDR | LB-AUTO | LB-SEQ-V-AUTO-INBOUND,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Auto: Account Management Ops,auto,LB-AUTO,LB-OPS | LB-AUTO,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Medical: SDR Outbound Prospecting,medical,LB-SEQ-V-MEDICAL-SDR,LB-SDR | LB-MEDICAL | LB-SEQ-V-MEDICAL-SDR,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Medical: Inbound Lead Nurture,medical,LB-SEQ-V-MEDICAL-INBOUND,LB-SDR | LB-MEDICAL | LB-SEQ-V-MEDICAL-INBOUND,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Medical: Account Management Ops,medical,LB-MEDICAL,LB-OPS | LB-MEDICAL,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Med Spa: SDR Outbound Prospecting,medspa,LB-SEQ-V-MEDSPA-SDR,LB-SDR | LB-MEDSPA | LB-SEQ-V-MEDSPA-SDR,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Med Spa: Inbound Lead Nurture,medspa,LB-SEQ-V-MEDSPA-INBOUND,LB-SDR | LB-MEDSPA | LB-SEQ-V-MEDSPA-INBOUND,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Med Spa: Account Management Ops,medspa,LB-MEDSPA,LB-OPS | LB-MEDSPA,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Dental: SDR Outbound Prospecting,dental,LB-SEQ-V-DENTAL-SDR,LB-SDR | LB-DENTAL | LB-SEQ-V-DENTAL-SDR,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Dental: Inbound Lead Nurture,dental,LB-SEQ-V-DENTAL-INBOUND,LB-SDR | LB-DENTAL | LB-SEQ-V-DENTAL-INBOUND,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Dental: Account Management Ops,dental,LB-DENTAL,LB-OPS | LB-DENTAL,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Auto Repair: SDR Outbound Prospecting,autorepair,LB-SEQ-V-AUTOREPAIR-SDR,LB-SDR | LB-AUTO | LB-SEQ-V-AUTOREPAIR-SDR,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Auto Repair: Inbound Lead Nurture,autorepair,LB-SEQ-V-AUTOREPAIR-INBOUND,LB-SDR | LB-AUTO | LB-SEQ-V-AUTOREPAIR-INBOUND,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Auto Repair: Account Management Ops,autorepair,LB-AUTO,LB-OPS | LB-AUTO,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Salon: SDR Outbound Prospecting,salon,LB-SEQ-V-SALON-SDR,LB-SDR | LB-SDR-SALON | LB-SEQ-V-SALON-SDR,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Salon: Inbound Lead Nurture,salon,LB-SEQ-V-SALON-INBOUND,LB-SDR | LB-SDR-SALON | LB-SEQ-V-SALON-INBOUND,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Salon: Account Management Ops,salon,LB-SDR-SALON,LB-OPS | LB-SDR-SALON,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Gym: SDR Outbound Prospecting,gym,LB-SEQ-V-GYM-SDR,LB-SDR | LB-SDR-GYM | LB-SEQ-V-GYM-SDR,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Gym: Inbound Lead Nurture,gym,LB-SEQ-V-GYM-INBOUND,LB-SDR | LB-SDR-GYM | LB-SEQ-V-GYM-INBOUND,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Gym: Account Management Ops,gym,LB-SDR-GYM,LB-OPS | LB-SDR-GYM,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Hotel: SDR Outbound Prospecting,hotel,LB-SEQ-V-HOTEL-SDR,LB-SDR | LB-SDR-HOTEL | LB-SEQ-V-HOTEL-SDR,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Hotel: Inbound Lead Nurture,hotel,LB-SEQ-V-HOTEL-INBOUND,LB-SDR | LB-SDR-HOTEL | LB-SEQ-V-HOTEL-INBOUND,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Hotel: Account Management Ops,hotel,LB-SDR-HOTEL,LB-OPS | LB-SDR-HOTEL,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Landscaping: SDR Outbound Prospecting,landscaping,LB-SEQ-V-LANDSCAPING-SDR,LB-SDR | LB-SDR-LANDSCAPING | LB-SEQ-V-LANDSCAPING-SDR,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Landscaping: Inbound Lead Nurture,landscaping,LB-SEQ-V-LANDSCAPING-INBOUND,LB-SDR | LB-SDR-LANDSCAPING | LB-SEQ-V-LANDSCAPING-INBOUND,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Landscaping: Account Management Ops,landscaping,LB-SDR-LANDSCAPING,LB-OPS | LB-SDR-LANDSCAPING,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Construction: SDR Outbound Prospecting,construction,LB-SEQ-V-CONSTRUCTION-SDR,LB-SDR | LB-SDR-CONSTRUCTION | LB-SEQ-V-CONSTRUCTION-SDR,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Construction: Inbound Lead Nurture,construction,LB-SEQ-V-CONSTRUCTION-INBOUND,LB-SDR | LB-SDR-CONSTRUCTION | LB-SEQ-V-CONSTRUCTION-INBOUND,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Construction: Account Management Ops,construction,LB-SDR-CONSTRUCTION,LB-OPS | LB-SDR-CONSTRUCTION,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Legal: SDR Outbound Prospecting,legal,LB-SEQ-V-LEGAL-SDR,LB-SDR | LB-SDR-LEGAL | LB-SEQ-V-LEGAL-SDR,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Legal: Inbound Lead Nurture,legal,LB-SEQ-V-LEGAL-INBOUND,LB-SDR | LB-SDR-LEGAL | LB-SEQ-V-LEGAL-INBOUND,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
5 - Vertical Playbooks,V-Legal: Account Management Ops,legal,LB-SDR-LEGAL,LB-OPS | LB-SDR-LEGAL,None — content already written in Replit and sent via GHL send-email/SMS API automatically,N,,Optional: only fill in if you want GHL's own workflow builder to ALSO run extra automation (e.g. a rep task) alongside this sequence
6 - True GHL-Native Workflows (build these manually),Booking Confirmation + Reminders,-,-,-,Build in GHL — see docs/ghl-workflow-playbook.md Workflow 4,N,,"Triggered by GHL calendar appointment status, Replit cannot see this event directly"
6 - True GHL-Native Workflows (build these manually),24h Appointment Reminder (fallback),-,-,-,Build in GHL — see docs/ghl-workflow-playbook.md Workflow 5,N,,Only needed if GHL calendar's built-in reminder isn't used
